! Stikord !! Side !! Sektion !! Lyd
| Bogstav: A || 207 || [[16_Stikordsregister#|16]] || <html5media>File:STIK-A.mp3</html5media>
| A. dorsalis pedis  || 185 || [[12_Det_perifere_karsystem#Auskultation|12.2.2]] || 
| A. tibialis posterior  || 185 || [[12_Det_perifere_karsystem#Auskultation|12.2.2]] || 
| abdomen  || 48 || [[3_Indlæggelsesnotatet#Hjertestetoskopi_(St.c._stethoscopia_cordis)|3.2.12]] || 
| abdomen  || 105 || [[7_Mave-tarm-systemet#Abdomen|7.2.2]] || 
| abdominalia  || 99 || [[7_Mave-tarm-systemet#Halsbrand_(pyrosis)|7.1.3]] || 
| abdominalt aortaaneurisme  || 186 || [[12_Det_perifere_karsystem#Auskultation|12.2.2]] || 
| absces  || 198 || [[14_Hud#Inspektion_og_palpation|14.2.1]] || 
| achillesrefleksen  || 174 || [[11_Centralnervesystemet#Sensibilitet|11.2.7]] || 
| achillesseneruptur  || 153 || [[10_Bevægeapparatet#Ankel_og_fod_(pes)|10.2.13]] || 
| adenit  || 65 || [[4_Almene_symptomer_og_fund#Farve|4.2.3]] || 
| adipositas  || 62 || [[4_Almene_symptomer_og_fund#Almentilstand|4.2.1]] || 
| adminstrationsform  || 55 || [[3_Indlæggelsesnotatet#Plan|3.4]] || 
| afasi  || 159 || [[11_Centralnervesystemet#Sprogforstyrrelser|11.1.5]] || 
| afasi  || 164 || [[11_Centralnervesystemet#Sprog|11.2.3]] || 
| afføringsmønster  || 101 || [[7_Mave-tarm-systemet#Afføringsmønster|7.1.5]] || 
| afgrænsende gensvar  || 20 || [[1_Mødet_mellem_læge_og_patient#Samtaleteknik|1.3]] || 
| aflåsningstilfælde  || 138 || [[10_Bevægeapparatet#Stivhed|10.1.2]] || 
| aktiv bevægelighed  || 141 || [[10_Bevægeapparatet#Palpation|10.2.3]] || 
| aktuelt  || 37 || [[3_Indlæggelsesnotatet#Nuværende/aktuelt|3.1.7]] || 
| akut myokardieinfarkt  || 73 || [[5_Hjertet#Vand_i_benene_(ødemer)|5.1.5]] || 
| akut påvirkning  || 62 || [[4_Almene_symptomer_og_fund#Almentilstand|4.2.1]] || 
| albuen  || 147 || [[10_Bevægeapparatet#Albuen_(cubitus)|10.2.8]] || 
| alimentære opkastninger  || 98 || [[7_Mave-tarm-systemet#Kvalme_(nausea)_og_opkastning_(emesis)|7.1.1]] || 
| alkohol  || 42 || [[3_Indlæggelsesnotatet#Tobak,_alkohol_og_øvrigt_misbrug|3.1.10]] || 
| allergier  || 33 || [[3_Indlæggelsesnotatet#Allergier|3.1.2]] || 
| almene fund  || 44 || [[3_Indlæggelsesnotatet#Almene_fund|3.2.1]] || 
| almene symptomer  || 57 || [[4_Almene_symptomer_og_fund#|4]] || 
